choice_id;question_id;choice_label;choice_text_md;is_correct;sort_order;feedback_md;match_role;match_choice_id;group_label
C0001;Q0001;A;A töltéshordozók egyirányú rendezett mozgása.;false;1;Ez az elektromos áram definíciója, nem az áramütésé.;;;
C0002;Q0001;B;A villamos áram kémiai hatásai.;false;2;Ez egy hatás, nem a meghatározás.;;;
C0003;Q0001;C;A villamos áram mechanikai, rázó- vagy ütőhatása az emberi testre.;false;3;A megfogalmazás pontatlan.;;;
C0004;Q0001;D;Az emberi testen áthaladó villamos áram által kiváltott káros élettani hatás.;true;4;Ez a helyes definíció.;;;
C0005;Q0002;A;Fázis és a nulla között mért feszültség.;false;1;Ez a fázisfeszültség.;;;
C0006;Q0002;B;Két fázis között mért feszültség.;true;2;Ez a vonali feszültség.;;;
C0007;Q0002;C;Föld és nulla között mért feszültség.;false;3;Ez nem a vonali feszültség.;;;
C0008;Q0002;D;Hiba esetén a nullán mérhető feszültség.;false;4;Ez hibajelenségre utal.;;;
C0009;Q0003;A;Piros;false;1;A védővezető nem piros.;;;
C0010;Q0003;B;Fekete;false;2;A védővezető nem fekete.;;;
C0011;Q0003;C;Kék;false;3;A védővezető nem kék.;;;
C0012;Q0003;D;Zöld / Sárga;true;4;Ez a helyes színjelölés.;;;
C0013;Q0004;A;S = √3 × U × I × cosφ;false;1;Ez az összefüggés nem a hatásos teljesítmény képlete.;;;
C0014;Q0004;B;P = √3 × U × I × sinφ;false;2;Ez nem a hatásos teljesítmény.;;;
C0015;Q0004;C;P = 3 × U × I;false;3;Hiányzik belőle a teljesítménytényező.;;;
C0016;Q0004;D;P = √3 × U × I × cosφ;true;4;Ez a helyes háromfázisú hatásos teljesítményképlet.;;;
C0017;Q0005;A;1600V AC;false;1;Ez már nem kisfeszültség.;;;
C0018;Q0005;B;24V AC;true;2;Ez kisfeszültség.;;;
C0019;Q0005;C;420V AC;true;3;Ez kisfeszültség.;;;
C0020;Q0005;D;100V DC;true;4;Ez kisfeszültség.;;;
C0021;Q0006;A;7,82 Ω;false;1;Ez ellenállás egység, nem áram.;;;
C0022;Q0006;B;9,2 A;true;2;Ez a helyes áramerősség.;;;
C0023;Q0006;C;7,82 A;false;3;Ez nem stimmel a számítással.;;;
C0024;Q0006;D;0,12 A;false;4;Ez túl kicsi.;;;
C0025;Q0007;A;Háztartásokban;false;1;A D karakterisztika nem erre a legjellemzőbb.;;;
C0026;Q0007;B;Vízmelegítő készülékekhez;false;2;Ez nem tipikus válasz.;;;
C0027;Q0007;C;Ipari berendezésekben;true;3;Ez a helyes válasz.;;;
C0028;Q0008;A;6A;false;1;Ez túl alacsony.;;;
C0029;Q0008;B;10A;false;2;Ez nem a várt gyakorlati érték.;;;
C0030;Q0008;C;13A;false;3;Ez nem a várt gyakorlati érték.;;;
C0031;Q0008;D;16A;true;4;Ez a gyakorlati feladatsor szerinti helyes válasz.;;;
C0032;Q0009;A;áttekintési rajz;true;1;Ez mutatja be egyszerűsítve a működést.;;;
C0033;Q0009;B;áramutas rajz;false;2;Ez a részleteket tartalmazó működési rajz.;;;
C0034;Q0009;C;huzalozási rajz;false;3;Ez a fémes összeköttetéseket mutatja.;;;
C0035;Q0009;D;csatlakozási rajz;false;4;Ez a csatlakozási pontokat adja meg.;;;
C0036;Q0010;A;Egy vagy több vezetőt egy vonallal ábrázol.;true;1;Ez az egyvonalas ábrázolás lényege.;;;
C0037;Q0010;B;Ábrázolhat párhuzamos kapcsolású vezetőket.;true;2;Ez szerepel a felsorolt lehetőségek között.;;;
C0038;Q0010;C;Ábrázolhat azonos működésű villamos áramköröket.;true;3;Ez is igaz.;;;
C0039;Q0010;D;Ábrázolhat az egy nyomvonalon futó vezetőket.;true;4;Ez is igaz.;;;
C0040;Q0010;E;Csak egyetlen vezetőt lehet vele jelölni.;false;5;Ez nem igaz.;;;
C0041;Q0010;F;Csak mérőkörökön használható.;false;6;Ez nem igaz.;;;
C0042;Q0011;A;készülékhuzalozási rajz;true;1;Ez mutatja a belső és külső összeköttetéseket.;;;
C0043;Q0011;B;bekötési rajz;false;2;Ez a készülékek közti csatlakozást mutatja.;;;
C0044;Q0011;C;csatlakozási rajz;false;3;Ez a csatlakozási pontokat adja meg.;;;
C0045;Q0011;D;elrendezési rajz;false;4;Ez az elhelyezést mutatja.;;;
C0046;Q0012;A;1s. - 10A kapcsoló;true;1;A példa szerint ez a helyes jelentés.;;;
C0047;Q0012;B;2s. - 10A kapcsoló;false;2;Ez más kapcsoló lenne.;;;
C0048;Q0012;C;1s. - 16A kapcsoló;false;3;A számérték nem egyezik.;;;
C0049;Q0012;D;3s. - 10A kapcsoló;false;4;A működés nem egyezik.;;;
C0050;Q0013;A;Egy fogyasztó vagy fogyasztói csoport kapcsolására két kapcsolási helyről.;true;1;Ez a váltókapcsolás célja.;;;
C0051;Q0013;B;Két fogyasztó önálló kapcsolására egy helyről.;false;2;Ez a csillárkapcsolás.;;;
C0052;Q0013;C;Egy fogyasztó kapcsolására három vagy több helyről.;false;3;Ez a keresztváltó kapcsolás.;;;
C0053;Q0013;D;Csak fázisvezetőben alkalmazható egyszerű kapcsolás.;false;4;Túl általános, nem pontos.;;;
C0054;Q0014;A;Az egysarkú kapcsolást többnyire melegpadlós helyiségekben alkalmazzák.;true;1;Ez a leírás szerepel a forrásban.;;;
C0055;Q0014;B;A kétsarkú kapcsolást hidegpadlós vagy kültéri szereléseknél alkalmazzuk.;true;2;Ez a leírás is szerepel.;;;
C0056;Q0014;C;A háromsarkú kapcsolás nagy teljesítményigényű, háromfázisra szétosztott világításnál jellemző.;true;3;Ez a helyes állítás.;;;
C0057;Q0014;D;Az egysarkú kapcsolást mindig a nulla vezetőbe kell kötni.;false;4;A fázisvezetőbe kell kötni.;;;
C0058;Q0014;E;A háromsarkú kapcsolás csak egyetlen lámpához használható.;false;5;Ez nem igaz.;;;
C0059;Q0015;A;csillárkapcsolás;true;1;Két fogyasztó vagy csoport önálló/egyidejű kapcsolására jó.;;;
C0060;Q0015;B;keresztváltó kapcsolás;false;2;Ez több kapcsolási helyhez való.;;;
C0061;Q0015;C;impulzusrelés kapcsolás;false;3;Ez nagyobb számú helyhez való lehet megoldás.;;;
C0062;Q0015;D;egysarkú kapcsolás;false;4;Ez nem ezt a feladatot oldja meg.;;;
C0063;Q0016;A;váltókapcsolás;true;1;Két kapcsolási helyről vezérelhető.;;;
C0064;Q0016;B;csillárkapcsolás;false;2;Ez két fogyasztó kapcsolására való.;;;
C0065;Q0016;C;keresztváltó kapcsolás;false;3;Ez három vagy több helyhez való.;;;
C0066;Q0016;D;egysarkú kapcsolás;false;4;Ez egy helyről vezérel.;;;
C0067;Q0017;A;A keresztváltó kapcsolás két alternatív kapcsoló közé iktatható.;true;1;Ez a működési elv lényege.;;;
C0068;Q0017;B;A kapcsolóhoz négy vezeték csatlakozik.;true;2;Ez szerepel a forrásban.;;;
C0069;Q0017;C;A két alternatív szálat cseréli meg.;true;3;Ez a funkciója.;;;
C0070;Q0017;D;Három vagy több kapcsolási helyről vezérelhető vele a világítás.;true;4;Ez az alkalmazási területe.;;;
C0071;Q0017;E;Csak két fogyasztó egyidejű kapcsolására való.;false;5;Ez nem igaz.;;;
C0072;Q0017;F;Mindig az elosztóban kell elhelyezni.;false;6;Ez az impulzusrelére igaz, nem a keresztkapcsolóra.;;;
